system:index,NDVI,temperature,.geo
64,-0.0048109483905136585,31.052034140000046,"{""type"":""Point"",""coordinates"":[76.31815313407276,9.865659950917536]}"
65,-0.025878798216581345,30.510277970000033,"{""type"":""Point"",""coordinates"":[76.26801514117656,9.832857038588811]}"
66,0.2999809980392456,32.817441470000006,"{""type"":""Point"",""coordinates"":[76.30285370626126,9.846592070308585]}"
67,-0.04257865622639656,30.122332700000015,"{""type"":""Point"",""coordinates"":[76.2063765974611,10.02561333048298]}"
68,-0.010573901236057281,30.34108598000003,"{""type"":""Point"",""coordinates"":[76.21310890898617,9.875043394941521]}"
69,-0.01602761261165142,30.260762510000006,"{""type"":""Point"",""coordinates"":[76.23869291530613,9.869859728940176]}"
70,-0.013264746405184269,30.071062400000017,"{""type"":""Point"",""coordinates"":[76.2405076275804,9.849920274308591]}"
71,-0.006869229022413492,30.006120020000026,"{""type"":""Point"",""coordinates"":[76.20384212313424,9.83344054642459]}"
72,0.17697285115718842,36.860959130000026,"{""type"":""Point"",""coordinates"":[76.33448977224171,9.9812180757591]}"
73,-0.017603660002350807,29.686535150000026,"{""type"":""Point"",""coordinates"":[76.16416061071104,9.972260865152005]}"
74,-0.019527623429894447,29.88307130000004,"{""type"":""Point"",""coordinates"":[76.17828100050919,10.001098411655022]}"
75,-0.009927229955792427,29.903579420000028,"{""type"":""Point"",""coordinates"":[76.16614068994879,9.894377331560728]}"
76,0.1572810411453247,36.748164470000006,"{""type"":""Point"",""coordinates"":[76.3061158779186,9.951205085020556]}"
77,-0.009731520898640156,29.797620800000033,"{""type"":""Point"",""coordinates"":[76.14591452653569,9.886914144698414]}"
78,-0.008981565944850445,29.966812790000006,"{""type"":""Point"",""coordinates"":[76.16739597875936,9.845910618181888]}"
79,-0.034696709364652634,30.50515094000002,"{""type"":""Point"",""coordinates"":[76.2706411699344,9.889737290752032]}"
80,0.22606879472732544,37.819713740000026,"{""type"":""Point"",""coordinates"":[76.34466646095805,10.0083638786178]}"
81,-0.02964453585445881,30.761502440000015,"{""type"":""Point"",""coordinates"":[76.23860037299374,10.03929983191792]}"
82,0.3717133104801178,32.09453024000004,"{""type"":""Point"",""coordinates"":[76.34773298584483,9.922554402439888]}"
83,-0.007589136715978384,30.732449270000018,"{""type"":""Point"",""coordinates"":[76.23908140308544,10.038116218216471]}"
84,0.2713559567928314,36.22008038000001,"{""type"":""Point"",""coordinates"":[76.37672398420095,10.001505320058062]}"
85,0.2709234654903412,34.32649730000003,"{""type"":""Point"",""coordinates"":[76.22920228210856,10.035297809980898]}"
86,0.3057819604873657,34.26155491999998,"{""type"":""Point"",""coordinates"":[76.33635622672448,9.83898658665596]}"
87,-0.02071455866098404,30.976837700000033,"{""type"":""Point"",""coordinates"":[76.28472113949789,9.865900643358327]}"
88,0.17518290877342224,35.70054134000003,"{""type"":""Point"",""coordinates"":[76.31563691363465,10.052971433137705]}"
89,0.24920456111431122,34.79818406000004,"{""type"":""Point"",""coordinates"":[76.33861432549773,10.008569369934946]}"
90,0.31615376472473145,32.579889080000044,"{""type"":""Point"",""coordinates"":[76.32331280757154,9.923620897139939]}"
91,0.23139552772045135,35.96714690000002,"{""type"":""Point"",""coordinates"":[76.30433050696739,10.050305568841475]}"
92,-0.010892044752836227,29.801038820000002,"{""type"":""Point"",""coordinates"":[76.14839921049864,9.892800349489015]}"
93,-0.008860692381858826,29.720715350000035,"{""type"":""Point"",""coordinates"":[76.1415701422184,9.92767663518684]}"
94,0.13736432790756226,33.810376280000014,"{""type"":""Point"",""coordinates"":[76.38617803907051,9.93942859913707]}"
95,0.22778668999671936,35.68686926000004,"{""type"":""Point"",""coordinates"":[76.35258019550672,9.926559531095643]}"
96,0.1313558965921402,33.54035270000003,"{""type"":""Point"",""coordinates"":[76.28689863020126,9.864402792757497]}"
97,0.3423936069011688,32.30473847000002,"{""type"":""Point"",""coordinates"":[76.37585576649874,9.90324110125091]}"
98,0.14364342391490936,38.75966924000002,"{""type"":""Point"",""coordinates"":[76.3003116760777,9.9934964176499]}"
99,-0.007394168060272932,30.10353359000004,"{""type"":""Point"",""coordinates"":[76.21742427722275,9.845569573161416]}"
100,0.12966616451740265,31.85185082000001,"{""type"":""Point"",""coordinates"":[76.22958969201478,10.059407942006088]}"
101,0.004357397090643644,32.73199097000003,"{""type"":""Point"",""coordinates"":[76.25435386520812,10.018323088044509]}"
102,0.31686148047447205,34.14876026000002,"{""type"":""Point"",""coordinates"":[76.38874777950384,9.885650109736464]}"
103,0.33751964569091797,32.480766500000016,"{""type"":""Point"",""coordinates"":[76.29170873386606,10.06002103909312]}"
104,0.19391992688179016,39.58341206,"{""type"":""Point"",""coordinates"":[76.31039252724406,9.84108463199086]}"
105,-0.00865449570119381,29.966812790000006,"{""type"":""Point"",""coordinates"":[76.19961936625369,9.864039307569282]}"
106,-0.035953275859355927,30.170184980000016,"{""type"":""Point"",""coordinates"":[76.20781298079552,10.004960239471835]}"
107,0.3321973383426666,33.68390954000006,"{""type"":""Point"",""coordinates"":[76.37742742130226,9.894085949608753]}"
108,0.23448187112808228,38.72890705999998,"{""type"":""Point"",""coordinates"":[76.36695185075295,9.971537890622239]}"
109,-0.007946743629872799,29.819837930000006,"{""type"":""Point"",""coordinates"":[76.16847988460793,9.888921719409083]}"
110,-0.011108607985079288,30.040300220000006,"{""type"":""Point"",""coordinates"":[76.23680335778857,9.84031581158384]}"
111,0.18672043085098267,36.80968883000003,"{""type"":""Point"",""coordinates"":[76.31587295861334,9.956910260505513]}"
112,0.13487239181995392,38.065811180000026,"{""type"":""Point"",""coordinates"":[76.35605515220341,10.022358052757587]}"
113,-0.003829775145277381,31.04861612000002,"{""type"":""Point"",""coordinates"":[76.26562834593764,10.000665572193801]}"
114,-0.04076319560408592,30.255635480000024,"{""type"":""Point"",""coordinates"":[76.21595009409792,9.964372521290045]}"
115,-0.014523354358971119,29.888198330000023,"{""type"":""Point"",""coordinates"":[76.25029610404631,9.798996188547294]}"
116,0.22967183589935303,35.936384720000035,"{""type"":""Point"",""coordinates"":[76.2311898826355,10.003740672200372]}"
117,0.26510658860206604,36.937864580000024,"{""type"":""Point"",""coordinates"":[76.28506749321681,10.059390581874158]}"
118,0.2610771954059601,34.347005420000016,"{""type"":""Point"",""coordinates"":[76.30038647337105,9.937901272434285]}"
119,-0.008592285215854645,29.799329810000017,"{""type"":""Point"",""coordinates"":[76.13858911085309,9.950535841864518]}"
120,0.24423860013484955,34.96224902000006,"{""type"":""Point"",""coordinates"":[76.25687887501218,9.900869094108502]}"
121,-0.015098626725375652,29.90870645000004,"{""type"":""Point"",""coordinates"":[76.18594057144178,9.913310317569957]}"
122,0.3215417265892029,36.41832554000001,"{""type"":""Point"",""coordinates"":[76.32328532135838,9.99408461725537]}"
123,0.1372876614332199,38.14613465000002,"{""type"":""Point"",""coordinates"":[76.26327056500705,9.931970878290166]}"
124,-0.012894405983388424,30.177021019999984,"{""type"":""Point"",""coordinates"":[76.22023130173658,9.900438865214857]}"
125,-0.01401035487651825,30.764920459999985,"{""type"":""Point"",""coordinates"":[76.35078286619242,9.835094531758413]}"
126,0.22331228852272034,35.99449106000003,"{""type"":""Point"",""coordinates"":[76.36579482967342,9.911243571479941]}"
127,0.36462289094924927,32.95928930000002,"{""type"":""Point"",""coordinates"":[76.23457923862188,9.983893393102225]}"
128,-0.02069801837205887,29.888198330000023,"{""type"":""Point"",""coordinates"":[76.16783513351363,9.947036212582052]}"
129,0.18501125276088715,34.65633623000002,"{""type"":""Point"",""coordinates"":[76.312650862563,9.87496033042034]}"
130,-0.03676416352391243,30.317159840000045,"{""type"":""Point"",""coordinates"":[76.22093546039305,9.957569201659725]}"
131,0.31596359610557556,35.87827837999998,"{""type"":""Point"",""coordinates"":[76.38249186706693,9.928390025899018]}"
132,0.2518864870071411,33.99836737999999,"{""type"":""Point"",""coordinates"":[76.32549455105226,9.838183564337777]}"
133,0.298539400100708,36.50719406000002,"{""type"":""Point"",""coordinates"":[76.3096242253535,9.927117218423769]}"
134,0.08413272351026535,39.468908390000024,"{""type"":""Point"",""coordinates"":[76.34624768853777,9.944502366508644]}"
135,0.33356183767318726,33.67878251000002,"{""type"":""Point"",""coordinates"":[76.32938403926252,9.907256245344835]}"
136,0.30090823769569397,36.71911130000001,"{""type"":""Point"",""coordinates"":[76.39620103999971,9.910166695242834]}"
137,-0.011220179498195648,29.701916240000003,"{""type"":""Point"",""coordinates"":[76.15043088515488,9.958203755802737]}"
138,-0.011899053119122982,29.689953170000024,"{""type"":""Point"",""coordinates"":[76.17181170968622,9.905184393792027]}"
139,0.22658424079418182,38.306781590000014,"{""type"":""Point"",""coordinates"":[76.25802063572455,9.932168863869757]}"
140,0.1271633505821228,39.09121718000003,"{""type"":""Point"",""coordinates"":[76.3231398758286,10.030257449699318]}"
141,-0.012970893643796444,30.065935370000005,"{""type"":""Point"",""coordinates"":[76.1968190777006,9.891151474428524]}"
142,0.261131227016449,35.32455914000002,"{""type"":""Point"",""coordinates"":[76.39924888579172,9.941090871870204]}"
143,-0.025522997602820396,30.385520240000005,"{""type"":""Point"",""coordinates"":[76.27014030587331,9.822475395025172]}"
144,0.14642982184886932,37.63514066000005,"{""type"":""Point"",""coordinates"":[76.32412977736188,10.007699892876573]}"
145,0.2505074739456177,35.87315135,"{""type"":""Point"",""coordinates"":[76.35627979750015,9.92106702296265]}"
146,-0.016861895099282265,30.091570520000005,"{""type"":""Point"",""coordinates"":[76.25293091380267,9.848758720970695]}"
147,0.14275792241096497,36.3943994,"{""type"":""Point"",""coordinates"":[76.32332986565707,9.936956307127213]}"
148,0.11448703706264496,37.40271530000001,"{""type"":""Point"",""coordinates"":[76.25302621143273,9.930929817741486]}"
149,0.27745354175567627,33.74543390000002,"{""type"":""Point"",""coordinates"":[76.39099024074049,9.974327262085351]}"
150,0.23941098153591156,35.29892399000005,"{""type"":""Point"",""coordinates"":[76.36036335405846,9.909886830123737]}"
151,-0.0031731557101011276,32.11845638,"{""type"":""Point"",""coordinates"":[76.26996605472188,10.018774936740236]}"
152,0.3598318099975586,33.119936240000044,"{""type"":""Point"",""coordinates"":[76.33909905748953,9.988200383865582]}"
153,0.29002511501312256,36.431997620000004,"{""type"":""Point"",""coordinates"":[76.3405393176692,9.94145819977013]}"
154,0.15356029570102692,33.93342500000003,"{""type"":""Point"",""coordinates"":[76.24885442351398,9.925576299259893]}"
155,0.21609777212142944,36.343129100000056,"{""type"":""Point"",""coordinates"":[76.34884116606318,9.951715065997911]}"
156,0.07210103422403336,32.925109099999986,"{""type"":""Point"",""coordinates"":[76.30512218334934,9.828176781614815]}"
157,-0.012811992317438126,29.992447940000034,"{""type"":""Point"",""coordinates"":[76.1994822574788,9.909992616190126]}"
158,-0.029639001935720444,30.204365180000025,"{""type"":""Point"",""coordinates"":[76.32390950682684,9.87661335965144]}"
159,-0.03357858955860138,30.159930920000022,"{""type"":""Point"",""coordinates"":[76.20477776255508,9.947505142963783]}"
160,0.05149604380130768,36.07310552000001,"{""type"":""Point"",""coordinates"":[76.24891880565518,9.97867260295862]}"
161,-0.040966395288705826,30.597437480000053,"{""type"":""Point"",""coordinates"":[76.27184546525771,9.88307110788894]}"
162,0.1983775496482849,36.924192500000004,"{""type"":""Point"",""coordinates"":[76.30854106306101,9.830104434121104]}"
163,0.37345871329307556,32.2073249,"{""type"":""Point"",""coordinates"":[76.37315906925721,9.902823890389374]}"
164,0.008266548626124859,30.935821460000057,"{""type"":""Point"",""coordinates"":[76.25703151418845,10.0610286276385]}"
165,0.3109284043312073,36.731074370000016,"{""type"":""Point"",""coordinates"":[76.35900772319239,9.947297803470601]}"
166,0.3216336667537689,34.25300987000003,"{""type"":""Point"",""coordinates"":[76.36151753726634,9.851858009147826]}"
167,0.37901341915130615,33.694163600000024,"{""type"":""Point"",""coordinates"":[76.29672787240553,9.824687552254964]}"
168,0.2637568414211273,32.37993491000003,"{""type"":""Point"",""coordinates"":[76.37626361719384,9.887297508804233]}"
169,-0.018131330609321594,30.16334893999999,"{""type"":""Point"",""coordinates"":[76.23971271229955,9.887465374539751]}"
170,0.3322320580482483,36.96862676000001,"{""type"":""Point"",""coordinates"":[76.3683624173501,9.977632701112197]}"
171,-0.01065754797309637,29.775403670000003,"{""type"":""Point"",""coordinates"":[76.16116982792326,9.934303323343864]}"
172,-0.026486491784453392,30.323995879999984,"{""type"":""Point"",""coordinates"":[76.25621246349483,9.861211536138839]}"
173,-0.015199251472949982,29.746350500000034,"{""type"":""Point"",""coordinates"":[76.18460226487389,9.918747841823084]}"
174,-0.035402812063694,29.98561190000001,"{""type"":""Point"",""coordinates"":[76.20357546708303,10.016902153646878]}"
175,-0.02161031775176525,29.836928030000024,"{""type"":""Point"",""coordinates"":[76.18974501009438,10.03449585038027]}"
176,0.21016758680343628,33.51984457999998,"{""type"":""Point"",""coordinates"":[76.22636414673872,10.056609714283503]}"
177,-0.031204432249069214,29.983902889999996,"{""type"":""Point"",""coordinates"":[76.22817536277714,9.932027317810785]}"
178,0.1982903629541397,37.41638738,"{""type"":""Point"",""coordinates"":[76.29556013089838,9.95144172269405]}"
179,-0.03274734318256378,30.01124705000001,"{""type"":""Point"",""coordinates"":[76.19771404946628,10.03363931437659]}"
180,0.09171396493911743,39.51676067,"{""type"":""Point"",""coordinates"":[76.24230854836458,9.966490352229021]}"
181,0.30128759145736694,36.341420090000014,"{""type"":""Point"",""coordinates"":[76.25867040901223,9.95850555500788]}"
182,0.11520803719758987,33.789868160000026,"{""type"":""Point"",""coordinates"":[76.21886123497941,10.028819131147769]}"
183,-0.034815821796655655,30.92385839000002,"{""type"":""Point"",""coordinates"":[76.28240714046726,9.840104926225683]}"
184,0.24471932649612427,38.117081480000024,"{""type"":""Point"",""coordinates"":[76.34546438627062,9.942562383774018]}"
185,-0.020932283252477646,30.611109560000045,"{""type"":""Point"",""coordinates"":[76.28879301106957,9.83768651454793]}"
186,-0.027265576645731926,31.287877520000023,"{""type"":""Point"",""coordinates"":[76.26295398870197,9.947732408471264]}"
187,-0.008076809346675873,30.100115570000014,"{""type"":""Point"",""coordinates"":[76.19209207898446,9.824557445295863]}"
188,0.30722880363464355,33.63263924,"{""type"":""Point"",""coordinates"":[76.36381212416343,9.847004563557109]}"
189,0.20411066710948944,33.90778985,"{""type"":""Point"",""coordinates"":[76.27071942043038,10.05519998534726]}"
190,0.09534206986427307,38.94082430000003,"{""type"":""Point"",""coordinates"":[76.39181715088333,9.934529321033192]}"
191,0.11002685874700546,47.68753748,"{""type"":""Point"",""coordinates"":[76.30080204258583,9.821032251899245]}"
192,0.2617573142051697,35.94322076000003,"{""type"":""Point"",""coordinates"":[76.39784071579105,9.926636491544851]}"
193,-0.012653233483433723,30.14113180999999,"{""type"":""Point"",""coordinates"":[76.2378166644522,9.858297339098344]}"
194,0.1930554062128067,39.140778470000015,"{""type"":""Point"",""coordinates"":[76.29825486347448,9.937917397957774]}"
195,-0.03912517800927162,30.56496629000003,"{""type"":""Point"",""coordinates"":[76.26828402700481,9.89092138051599]}"
196,0.26721203327178955,37.22497826000006,"{""type"":""Point"",""coordinates"":[76.31047861453955,9.838380177678433]}"
197,0.28990939259529114,34.497398299999986,"{""type"":""Point"",""coordinates"":[76.37736697650045,9.870564305232504]}"
198,-0.039819732308387756,29.88307130000004,"{""type"":""Point"",""coordinates"":[76.1913660497227,9.96782236423845]}"
199,0.1769784837961197,38.74428815000002,"{""type"":""Point"",""coordinates"":[76.2848115645408,9.910032420874716]}"
200,-0.012330090627074242,30.178730030000025,"{""type"":""Point"",""coordinates"":[76.20917071817895,9.891500650682946]}"
201,0.157877579331398,33.96418718000001,"{""type"":""Point"",""coordinates"":[76.27086641221503,10.02751207962666]}"
202,0.3084622323513031,33.089174060000005,"{""type"":""Point"",""coordinates"":[76.29108460212201,10.04190585204911]}"
203,0.21523959934711456,33.00543257000004,"{""type"":""Point"",""coordinates"":[76.32143625838043,9.811542760151733]}"
204,0.3824884295463562,35.12973200000002,"{""type"":""Point"",""coordinates"":[76.33646265529124,9.942978714834734]}"
205,0.22582121193408966,37.64710373,"{""type"":""Point"",""coordinates"":[76.31309883949007,9.961135885891686]}"
206,-0.011124493554234505,30.10353359000004,"{""type"":""Point"",""coordinates"":[76.23301415638615,9.842319461490337]}"
207,0.2206982523202896,36.90881141,"{""type"":""Point"",""coordinates"":[76.37159105742226,9.945908266406207]}"
208,0.28569546341896057,34.182940460000054,"{""type"":""Point"",""coordinates"":[76.40117495744603,9.94457438178016]}"
209,0.1392935812473297,31.42801634,"{""type"":""Point"",""coordinates"":[76.26840483554426,10.04467415336828]}"
210,0.3099658787250519,33.55915181,"{""type"":""Point"",""coordinates"":[76.3828921600141,9.88543871423701]}"
211,0.23817680776119232,36.380727320000005,"{""type"":""Point"",""coordinates"":[76.37138762567605,9.926323396385602]}"
212,-0.011041578836739063,29.98561189999998,"{""type"":""Point"",""coordinates"":[76.24081219081592,9.826898028465145]}"
213,0.2975625991821289,37.58045234000002,"{""type"":""Point"",""coordinates"":[76.35068448326508,10.0359704789771]}"
214,0.2347901463508606,36.92077447999998,"{""type"":""Point"",""coordinates"":[76.32401025774156,9.890405447671515]}"
215,0.024877693504095078,30.645289760000026,"{""type"":""Point"",""coordinates"":[76.28586249708641,9.811964671545585]}"
216,0.2599479556083679,34.96737605000004,"{""type"":""Point"",""coordinates"":[76.30985586789143,9.899663059956527]}"
217,-0.03418034687638283,30.407737370000007,"{""type"":""Point"",""coordinates"":[76.22336395434147,9.973339610295058]}"
218,0.030193911865353584,33.50959052000002,"{""type"":""Point"",""coordinates"":[76.32512150960522,9.974992753637165]}"
219,-0.025327296927571297,31.01785394000001,"{""type"":""Point"",""coordinates"":[76.36144710667993,9.859411408086881]}"
220,0.19770941138267517,36.49864901000004,"{""type"":""Point"",""coordinates"":[76.35519437805677,9.948278118750794]}"
221,0.29467177391052246,34.347005420000016,"{""type"":""Point"",""coordinates"":[76.38147963035483,9.871550546327233]}"
222,-0.01664225570857525,29.941177640000006,"{""type"":""Point"",""coordinates"":[76.20837754579371,9.918684113642962]}"
223,0.2908250689506531,34.963958030000015,"{""type"":""Point"",""coordinates"":[76.3810548673364,9.908006455723331]}"
224,0.21129745244979858,34.30598917999998,"{""type"":""Point"",""coordinates"":[76.27058578255709,10.049939061708166]}"
225,0.24701862037181854,35.07504368000002,"{""type"":""Point"",""coordinates"":[76.36096429550939,9.909341678275105]}"
226,0.13719062507152557,37.89320117,"{""type"":""Point"",""coordinates"":[76.3202382407162,9.98223774880282]}"
227,0.17862024903297424,37.45227659,"{""type"":""Point"",""coordinates"":[76.3354805148672,10.01567026440305]}"
228,-0.03111296333372593,30.77175650000001,"{""type"":""Point"",""coordinates"":[76.21986449820115,9.984967097126663]}"
229,-0.0231863334774971,29.93946863000002,"{""type"":""Point"",""coordinates"":[76.17678734952129,9.980348387105849]}"
230,0.26097485423088074,35.69712332,"{""type"":""Point"",""coordinates"":[76.21995423501943,10.050652940469536]}"
231,0.29802361130714417,34.71273356000006,"{""type"":""Point"",""coordinates"":[76.32718565862737,9.895132130218094]}"
232,-0.03978623077273369,30.42140945,"{""type"":""Point"",""coordinates"":[76.21246820534124,10.014163727544954]}"
233,-0.01828962378203869,30.06422636000002,"{""type"":""Point"",""coordinates"":[76.21326273546585,9.927591543488413]}"
234,0.14397063851356506,37.1292737,"{""type"":""Point"",""coordinates"":[76.29762393860032,9.861705933171832]}"
235,0.15663227438926697,38.25038426000003,"{""type"":""Point"",""coordinates"":[76.27634888425592,9.950853779259687]}"
236,-0.01812371425330639,30.970001660000037,"{""type"":""Point"",""coordinates"":[76.29380594401489,9.920946390208101]}"
237,-0.010054721496999264,29.871108230000033,"{""type"":""Point"",""coordinates"":[76.14202188795846,9.889898373036022]}"
238,0.3411514461040497,35.16391220000003,"{""type"":""Point"",""coordinates"":[76.29834932963956,10.0339008021596]}"
239,0.2311321496963501,35.76890174000005,"{""type"":""Point"",""coordinates"":[76.39152189459529,9.894146648698937]}"
240,-0.010818206705152988,29.971939820000046,"{""type"":""Point"",""coordinates"":[76.15382417700468,9.873995078761174]}"
241,-0.009689650498330593,29.828382980000015,"{""type"":""Point"",""coordinates"":[76.1467593711988,9.878977939982656]}"
242,-0.03323762118816376,30.32741390000001,"{""type"":""Point"",""coordinates"":[76.21160811566347,9.94285468364543]}"
